도로종류,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,일,2351,65,759,3009,308
일반국도,월,3242,62,947,3603,357
일반국도,화,3226,74,931,3399,343
일반국도,수,3302,64,892,3618,333
일반국도,목,3224,79,899,3532,327
일반국도,금,3629,65,1066,3916,370
일반국도,토,3111,58,940,3882,374
지방도,일,1290,23,449,1575,157
지방도,월,1838,50,622,1771,201
지방도,화,1771,37,576,1840,173
지방도,수,1812,34,589,1878,213
지방도,목,1765,42,553,1835,214
지방도,금,1777,43,552,1867,170
지방도,토,1631,42,601,1875,172
특별광역시도,일,8244,70,2082,9589,867
특별광역시도,월,11244,75,2655,11645,900
특별광역시도,화,11151,70,2603,11331,986
특별광역시도,수,11524,94,2744,11630,1000
특별광역시도,목,11432,82,2713,11681,966
특별광역시도,금,13016,101,3053,13328,1088
특별광역시도,토,11058,69,2710,12447,1061
시도,일,6662,88,1797,7784,728
시도,월,9061,104,2481,9193,914
시도,화,9412,99,2420,9487,883
시도,수,9436,114,2465,9452,868
시도,목,9292,100,2428,9464,872
시도,금,10508,112,2710,10788,965
시도,토,8525,108,2272,9707,835
군도,일,845,35,306,932,71
군도,월,1036,31,379,919,81
군도,화,1103,30,450,971,80
군도,수,1063,33,392,996,66
군도,목,1096,42,417,972,87
군도,금,1152,38,451,1042,87
군도,토,1013,33,404,1032,68
고속국도,일,615,20,243,1338,124
고속국도,월,719,33,256,1132,126
고속국도,화,728,32,297,1078,142
고속국도,수,709,34,227,989,79
고속국도,목,731,30,228,1058,108
고속국도,금,878,23,285,1465,210
고속국도,토,840,14,324,1558,133
기타,일,1252,13,346,1354,127
기타,월,1595,16,410,1526,151
기타,화,1610,10,392,1516,158
기타,수,1674,13,438,1595,154
기타,목,1648,16,373,1577,177
기타,금,1854,17,454,1759,180
기타,토,1601,14,408,1634,187
